"","MA.id","CDSR.id","outcome","modelname","col.group","num_studies","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic"
"7918",660,"CD012780","Hedge's g","ivre","Frequentist",9,0.0542914304228591,0.337950888164469,-0.608080138922823,0.716662999768541,1.32474313869136,0,NA,NA,NA,NA,NA,NA
"7919",660,"CD012780","Hedge's g","htebayesian","Bayesian",9,0.0710552751141376,0.354604248062732,-0.646026008046651,0.748935941542791,1.39496194958944,0.271704988155467,-0.388025768463092,1.93667205156715,0.776051536926184,0.0438334224222872,0.00717111035592762,0.0876668448445743
"7920",660,"CD012780","Hedge's g","ctebayesian","Bayesian",9,0.0526361784144089,0.331594210480783,-0.592823511930773,0.697897277396523,1.2907207893273,NA,NA,NA,NA,NA,NA,NA
"7921",661,"CD012780","MD","ivfe","Frequentist",8,0.351951435443969,0.368110955591384,-0.369532779829768,1.07343565071771,1.44296843054747,NA,NA,NA,NA,NA,NA,NA
"7922",661,"CD012780","MD","ivre","Frequentist",8,0.456681524922178,0.164632307646193,0.134008131243921,0.779354918600435,0.645346787356514,0.417571396147144,NA,NA,NA,NA,NA,NA
"7923",661,"CD012780","MD","htebayesian","Bayesian",8,0.453877199616161,0.31431983004153,-0.154677382612738,1.09102856277456,1.2457059453873,0.245395523819424,2.9684940756865,1.33143445614012,-5.936988151373,0.158459593245013,0.0903679122799404,0.316919186490025
"7924",661,"CD012780","MD","ctebayesian","Bayesian",8,0.445341411455438,0.270884624996269,-0.0862401147328745,0.973889792927249,1.06012990766012,NA,NA,NA,NA,NA,NA,NA
"7925",661,"CD012780","Cohen's d","ivfe","Frequentist",8,0.0500808655736629,0.059378253772962,-0.0662983732862222,0.166460104433548,0.23275847771977,NA,NA,NA,NA,NA,NA,NA
"7926",661,"CD012780","Cohen's d","ivre","Frequentist",8,0.0500808655736629,0.059378253772962,-0.0662983732862222,0.166460104433548,0.23275847771977,0,NA,NA,NA,NA,NA,NA
"7927",661,"CD012780","Cohen's d","htebayesian","Bayesian",8,0.103207884417652,0.90780941639179,-1.64282263098368,1.93228590217976,3.57510853316344,0.689944694410083,-3.63057118014171,10.595966933905,7.26114236028343,0.0990074700209677,0.380704832781326,0.198014940041935
"7928",661,"CD012780","Cohen's d","ctebayesian","Bayesian",8,0.060680230049145,0.80156236162391,-1.51703748451666,1.61980237208209,3.13683985659875,NA,NA,NA,NA,NA,NA,NA
"7929",661,"CD012780","Hedge's g","ivfe","Frequentist",8,0.061279318019031,0.358158863864183,-0.640699155898551,0.763257791936613,1.40395694783516,NA,NA,NA,NA,NA,NA,NA
"7930",661,"CD012780","Hedge's g","ivre","Frequentist",8,0.061279318019031,0.358158863864183,-0.640699155898551,0.763257791936613,1.40395694783516,0,NA,NA,NA,NA,NA,NA
