"","MA.id","CDSR.id","est","se","low","up","width","tau","elpd_waic","p_waic","waic","se_elpd_waic","se_p_waic","se_waic","modelname","col.group","outcome","num_studies"
"495",495,"CD008823",-3.59219734628791,0.828843385165726,-5.2437313078279,-1.9857004286654,3.2580308791625,5.94173686348048,-198.438556965385,15.6796143121804,396.877113930771,42.3764562325785,1.27477106696072,84.752912465157,"htebayesian.tau100","bayesian","MD",53
"496",496,"CD003316",-3.55077747682813,0.653052693412958,-4.70831686107608,-2.23107955709553,2.47723730398055,0.715461967287711,-18.3907114940342,1.61461489606825,36.7814229880684,0.789626452735302,0.375172869815269,1.5792529054706,"htebayesian.tau100","bayesian","MD",5
"497",497,"CD008823",-4.75981208171358,1.59675570177608,-7.98407878475156,-1.58711776440064,6.39696102035091,5.86376663540096,-73.9546655642378,4.46277869996779,147.909331128476,21.1827037355658,0.451220754960606,42.3654074711316,"htebayesian.tau100","bayesian","MD",15
"498",498,"CD003316",-2.29314446136498,2.18920116016634,-6.57102447629902,1.78128780813954,8.35231228443856,3.13275683084179,-13.7736979899397,4.08090305278766,27.5473959798795,5.93047101731647,1.89145018450813,11.8609420346329,"htebayesian.tau100","bayesian","MD",5
"499",499,"CD008823",-3.57684816311478,0.941347899586004,-5.44911921026828,-1.72255391210356,3.72656529816472,5.26001623250405,-122.603636592197,9.11935090552665,245.207273184395,29.2912539825129,0.662246763382318,58.5825079650258,"htebayesian.tau100","bayesian","MD",33
"500",500,"CD003316",-2.94488537888177,3.07314126664954,-9.09937089778512,3.26389765686417,12.3632685546493,6.82990936030114,-22.6217128813031,3.96735316840587,45.2434257626063,15.1812589247798,1.6943081666832,30.3625178495596,"htebayesian.tau100","bayesian","MD",7
"501",501,"CD008823",-4.6430706333997,1.5761527598461,-7.76659654909202,-1.54301973131345,6.22357681777857,6.9892337279612,-101.051961884533,6.09087695770831,202.103923769066,30.6206400039027,1.04279117412568,61.2412800078055,"htebayesian.tau100","bayesian","MD",21
"502",502,"CD008823",-3.59430476883258,0.829880784093722,-5.2162259108829,-1.96368972647146,3.25253618441144,5.93516387107546,-198.419900818125,15.6730833632481,396.83980163625,42.3742704080132,1.26832864014346,84.7485408160263,"htebayesian.tau100","bayesian","MD",53
"503",503,"CD008823",-8.29657367971402,2.39816718128871,-13.0825026786905,-3.40496835256273,9.67753432612777,5.34129390136842,-59.2954410427685,2.07474044300372,118.590882085537,11.9092664788814,0.374405991204956,23.8185329577629,"htebayesian.tau100","bayesian","MD",7
"504",504,"CD003481",-3.74997510463328,3.55832174281801,-10.8781997031956,3.39879420866911,14.2769939118647,7.03388167771246,-23.9254396233023,2.82457792668975,47.8508792466046,14.0300905739608,0.888301125766295,28.0601811479215,"htebayesian.tau100","bayesian","MD",6
"505",505,"CD008962",-3.48264135544201,2.27503720142144,-7.8546513410209,1.13538315445992,8.99003449548082,4.28950115269749,-23.6789509550792,5.74599993688048,47.3579019101583,7.88699627145964,1.21392080180691,15.7739925429193,"htebayesian.tau100","bayesian","MD",6
"506",506,"CD003481",6.26243400339548,3.87908017921132,-1.68017932775579,13.9957432277029,15.6759225554587,7.58501395167871,36.8608175439203,2.17193164082735,-73.7216350878405,15.5315899410038,1.26346989524385,31.0631798820076,"htebayesian.tau100","bayesian","MD",6
"507",507,"CD008962",-2.53442423883408,0.922526356525654,-4.31862354895562,-0.621195186243939,3.69742836271168,2.22995211970493,-26.48972827536,7.82619107659897,52.97945655072,5.06243115089792,1.76690909595774,10.1248623017958,"htebayesian.tau100","bayesian","MD",9
"508",508,"CD008962",-1.59480075031344,1.64347934750851,-4.64794793293057,1.56907033564564,6.21701826857622,2.04170581301522,-11.11786883211,6.67875216724551,22.23573766422,3.40975370897496,1.16224766109124,6.81950741794993,"htebayesian.tau100","bayesian","MD",5
"509",509,"CD003481",-6.49952788944392,3.87356901946067,-14.1454000475651,1.35227233559086,15.497672383156,11.938398284256,-73.2085111029318,2.05895991696678,146.417022205864,36.1929224859317,0.397614333651527,72.3858449718634,"htebayesian.tau100","bayesian","MD",11
"510",510,"CD008962",0.874429164848896,0.796900272883492,-0.69348937417656,2.47466696370446,3.16815633788102,0.618275299112636,2.96868326145123,6.8752428128529,-5.93736652290247,0.47824912020896,0.231066556919476,0.956498240417921,"htebayesian.tau100","bayesian","MD",7
"511",511,"CD008962",1.08482732663016,0.779086874907434,-0.528978727622859,2.5512060052274,3.08018473285026,0.982044548862065,3.9035608095277,11.7180170785322,-7.80712161905539,1.50197956425053,0.537622546339762,3.00395912850106,"htebayesian.tau100","bayesian","MD",9
"512",512,"CD003481",-9.50973937116006,8.98517288895872,-26.7766658782282,9.83201823060768,36.6086841088359,16.737235417385,-50.7340294836834,0.675693682038798,101.468058967367,29.1872688882999,0.20564887095372,58.3745377765997,"htebayesian.tau100","bayesian","MD",5
"513",513,"CD008962",1.34202467966063,0.930674340380717,-0.596726331859177,3.04508841614204,3.64181474800122,1.03752088014247,4.09859398727573,10.1245328972678,-8.19718797455146,1.59628058366643,0.655605225153895,3.19256116733286,"htebayesian.tau100","bayesian","MD",7
"514",514,"CD008962",-0.778988013028525,1.2765632593248,-3.00723532498129,1.68922553937966,4.69646086436094,1.0106459663818,-7.06206381506261,7.70962239922581,14.1241276301252,1.08919004864988,0.301716480867396,2.17838009729976,"htebayesian.tau100","bayesian","MD",5
"515",515,"CD008962",-0.466210513986454,1.08605647301092,-2.52149647030855,1.61395133118713,4.13544780149568,0.801544212285958,-5.35491856977548,6.63588706460816,10.709837139551,0.239337039195102,0.38519008013973,0.478674078390204,"htebayesian.tau100","bayesian","MD",5
"516",516,"CD008962",1.19798353647455,1.59564428079327,-2.15202898275038,4.12487044277984,6.27689942553022,1.92577467261949,0.18802974777086,10.6897757794305,-0.37605949554172,2.70385413384854,0.617915417348152,5.40770826769707,"htebayesian.tau100","bayesian","MD",5
"517",517,"CD003633",8.22786862134082,1.19105187159538,5.89379914427337,10.4820213564195,4.58822221214617,1.77446618673936,40.2242865339337,1.91941468579371,-80.4485730678674,2.86538826922573,0.345569950007853,5.73077653845145,"htebayesian.tau100","bayesian","MD",5
"518",518,"CD008962",0.440362241638279,1.15278876871111,-1.75309153306779,2.4816591452863,4.23475067835409,0.833960807348485,-1.04319897733763,6.69401988448555,2.08639795467526,0.49268428521613,0.375782784861332,0.985368570432261,"htebayesian.tau100","bayesian","MD",5
"519",519,"CD008962",-0.186937780296862,0.91997853052335,-1.98148147073663,1.63741098228953,3.61889245302616,0.710085182316357,-4.35965960666912,7.01677933962224,8.71931921333824,0.356385977661156,0.221775062332299,0.712771955322311,"htebayesian.tau100","bayesian","MD",6
"520",520,"CD008962",0.219453929785348,0.803248288392485,-1.26381627044341,1.88235056766694,3.14616683811035,0.583779051652003,-1.3190218763947,6.82864118326083,2.63804375278939,0.154075798956865,0.170106370602128,0.308151597913729,"htebayesian.tau100","bayesian","MD",7
"521",521,"CD008962",2.68717128736581,1.79211158812052,-1.10775482501604,5.89495094811845,7.00270577313449,2.25711123080632,6.58877969273118,12.4919763882821,-13.1775593854624,3.51625189222377,1.18743885079943,7.03250378444753,"htebayesian.tau100","bayesian","MD",5
"522",522,"CD000376",-0.156386635225284,1.37796682266557,-2.57177159453628,2.29850213524412,4.8702737297804,0.922415223045293,-4.3233896334386,8.90873206630664,8.64677926687719,0.167922449098062,0.721401327012749,0.335844898196123,"htebayesian.tau100","bayesian","MD",5
"523",523,"CD000376",-0.128285642514026,1.34710063237061,-2.80501695640519,2.42978914402155,5.23480610042674,1.00199826741894,-5.09741976369735,10.0791777024076,10.1948395273947,0.437942446659615,0.457331483408853,0.87588489331923,"htebayesian.tau100","bayesian","MD",5
"524",524,"CD000376",-0.379217337727483,0.987050136063673,-2.09215170872243,1.30851936943926,3.40067107816169,0.680806326293347,-3.83632271941228,4.15490322123361,7.67264543882456,0.436132405015982,0.284424652482489,0.872264810031964,"htebayesian.tau100","bayesian","MD",5
"525",525,"CD000376",-0.0862135222747784,1.42413666887806,-2.77875995923739,2.62908563608337,5.40784559532076,1.03458583628465,-4.28688909122234,10.8432477154963,8.57377818244468,0.554478192765337,0.571969083907219,1.10895638553067,"htebayesian.tau100","bayesian","MD",5
"526",526,"CD000390",7.55916108949087,3.15136456519601,1.01351137317233,13.7033473075037,12.6898359343314,6.14697155569937,44.4052922930297,2.70790629879922,-88.8105845860593,12.4699417233782,0.528590134206566,24.9398834467564,"htebayesian.tau100","bayesian","MD",6
"527",527,"CD000390",-3.85151242621771,1.07067666728377,-5.9512702033019,-1.81412391565715,4.13714628764475,1.90345751232362,-24.1735948904,1.94335349650971,48.3471897808001,3.75884537461185,0.400997954468229,7.5176907492237,"htebayesian.tau100","bayesian","MD",6
"528",528,"CD009209",0.352049501304642,1.3532153434866,-2.47458783591847,2.92213866831985,5.39672650423833,2.70781017659929,-3.26588251781701,10.9031840090511,6.53176503563402,6.09500849851105,3.17610477877972,12.1900169970221,"htebayesian.tau100","bayesian","MD",7
"529",529,"CD009209",-0.296489710672279,2.12487220411457,-4.63976557896659,3.8156927244795,8.45545830344609,4.67980702988684,-5.91457954280987,7.45768715528669,11.8291590856197,10.7833022503948,3.25711827807601,21.5666045007896,"htebayesian.tau100","bayesian","MD",7
"530",530,"CD003959",3.21061891951139,1.72336860963183,-0.161762145102792,6.40495505406316,6.56671719916595,2.42768527769384,14.1187125514721,3.67694016665043,-28.2374251029442,4.09659220739788,0.635215995471387,8.19318441479577,"htebayesian.tau100","bayesian","MD",5
